Year,Actor,Film,Character
"2000
(54th)",Jamie Bell,Billy Elliot,Billy Elliot
"2000
(54th)",Russell Crowe,Gladiator,Maximus Decimus Meridius
"2000
(54th)",Michael Douglas,Wonder Boys,Grady Tripp
"2000
(54th)",Tom Hanks,Cast Away,Chuck Noland
"2000
(54th)",Geoffrey Rush,Quills,Marquis de Sade
"2001
(55th)",Russell Crowe,A Beautiful Mind,John Forbes Nash Jr.
"2001
(55th)",Jim Broadbent,Iris,John Bayley
"2001
(55th)",Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,Gandalf
"2001
(55th)",Kevin Spacey,The Shipping News,Quoyle
"2001
(55th)",Tom Wilkinson,In the Bedroom,Matt Fowler
"2002
(56th)",Daniel Day-Lewis,Gangs of New York,"William ""Bill the Butcher"" Cutting"
"2002
(56th)",Adrien Brody,The Pianist,Władysław Szpilman
"2002
(56th)",Nicolas Cage,Adaptation,Charlie and Donald Kaufman
"2002
(56th)",Michael Caine,The Quiet American,Thomas Fowler
"2002
(56th)",Jack Nicholson,About Schmidt,Warren Schmidt
"2003
(57th)",Bill Murray,Lost in Translation,Bob Harris
"2003
(57th)",Benicio del Toro,21 Grams,Jack Jordan
"2003
(57th)",Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,Captain Jack Sparrow
"2003
(57th)",Jude Law,Cold Mountain,W. P. Inman
"2003
(57th)",Sean Penn,21 Grams,Paul Rivers
"2003
(57th)",Sean Penn,Mystic River,Jimmy Markum
"2004
(58th)",Jamie Foxx,Ray,Ray Charles
"2004
(58th)",Jim Carrey,Eternal Sunshine of the Spotless Mind,Joel Barish
"2004
(58th)",Johnny Depp,Finding Neverland,J. M. Barrie
"2004
(58th)",Leonardo DiCaprio,The Aviator,Howard Hughes
"2004
(58th)",Gael García Bernal,The Motorcycle Diaries,"Ernesto ""Che"" Guevara"
"2005
(59th)",Philip Seymour Hoffman,Capote,Truman Capote
"2005
(59th)",Ralph Fiennes,The Constant Gardener,Justin Quayle
"2005
(59th)",Heath Ledger,Brokeback Mountain,Ennis Del Mar
"2005
(59th)",Joaquin Phoenix,Walk the Line,Johnny Cash
"2005
(59th)",David Strathairn,"Good Night, and Good Luck",Edward R. Murrow
"2006
(60th)",Forest Whitaker,The Last King of Scotland,Idi Amin
"2006
(60th)",Daniel Craig,Casino Royale,James Bond
"2006
(60th)",Leonardo DiCaprio,The Departed,"William ""Billy"" Costigan, Jr."
"2006
(60th)",Richard Griffiths,The History Boys,Hector
"2006
(60th)",Peter O'Toole,Venus,Maurice Russell
"2007
(61st)",Daniel Day-Lewis,There Will Be Blood,Daniel Plainview
"2007
(61st)",George Clooney,Michael Clayton,Michael Clayton
"2007
(61st)",James McAvoy,Atonement,Robbie Turner
"2007
(61st)",Viggo Mortensen,Eastern Promises,Nikolai Luzhin
"2007
(61st)",Ulrich Mühe,The Lives of Others,Gerd Wiesler
"2008
(62nd)",Mickey Rourke,The Wrestler,"Randy ""The Ram"" Robinson"
"2008
(62nd)",Frank Langella,Frost/Nixon,Richard Nixon
"2008
(62nd)",Dev Patel,Slumdog Millionaire,Jamal Malik
"2008
(62nd)",Sean Penn,Milk,Harvey Milk
"2008
(62nd)",Brad Pitt,The Curious Case of Benjamin Button,Benjamin Button
"2009
(63rd)",Colin Firth,A Single Man,George Falconer
"2009
(63rd)",Jeff Bridges,Crazy Heart,"Otis ""Bad"" Blake"
"2009
(63rd)",George Clooney,Up in the Air,Ryan Bingham
"2009
(63rd)",Jeremy Renner,The Hurt Locker,SFC. William James
"2009
(63rd)",Andy Serkis,Sex & Drugs & Rock & Roll,Ian Dury
"2010
(64th)",Colin Firth,The King's Speech,King George VI
"2010
(64th)",Javier Bardem,Biutiful,Uxbal
"2010
(64th)",Jeff Bridges,True Grit,"Reuben ""Rooster"" Cogburn"
"2010
(64th)",Jesse Eisenberg,The Social Network,Mark Zuckerberg
"2010
(64th)",James Franco,127 Hours,Aron Ralston
"2011
(65th)",Jean Dujardin,The Artist,George Valentin
"2011
(65th)",George Clooney,The Descendants,"Matthew ""Matt"" King"
"2011
(65th)",Michael Fassbender,Shame,Brandon Sullivan
"2011
(65th)",Gary Oldman,Tinker Tailor Soldier Spy,George Smiley
"2011
(65th)",Brad Pitt,Moneyball,Billy Beane
"2012
(66th)",Daniel Day-Lewis,Lincoln,Abraham Lincoln
"2012
(66th)",Ben Affleck,Argo,Tony Mendez
"2012
(66th)",Bradley Cooper,Silver Linings Playbook,"Patrick ""Pat"" Solitano, Jr."
"2012
(66th)",Hugh Jackman,Les Misérables,Jean Valjean
"2012
(66th)",Joaquin Phoenix,The Master,Freddie Quell
"2013
(67th)",Chiwetel Ejiofor,12 Years a Slave,Solomon Northup
"2013
(67th)",Christian Bale,American Hustle,Irving Rosenfeld
"2013
(67th)",Bruce Dern,Nebraska,Woody Grant
"2013
(67th)",Leonardo DiCaprio,The Wolf of Wall Street,Jordan Belfort
"2013
(67th)",Tom Hanks,Captain Phillips,Captain Richard Phillips
"2014
(68th)",Eddie Redmayne,The Theory of Everything,Stephen Hawking
"2014
(68th)",Benedict Cumberbatch,The Imitation Game,Alan Turing
"2014
(68th)",Ralph Fiennes,The Grand Budapest Hotel,Monsieur Gustave H.
"2014
(68th)",Jake Gyllenhaal,Nightcrawler,"Louis ""Lou"" Bloom"
"2014
(68th)",Michael Keaton,Birdman,Riggan Thomson
"2015
(69th)",Leonardo DiCaprio,The Revenant,Hugh Glass
"2015
(69th)",Bryan Cranston,Trumbo,Dalton Trumbo
"2015
(69th)",Matt Damon,The Martian,Mark Watney
"2015
(69th)",Michael Fassbender,Steve Jobs,Steve Jobs
"2015
(69th)",Eddie Redmayne,The Danish Girl,Lili Elbe / Einar Wegener
"2016
(70th)",Casey Affleck,Manchester by the Sea,Lee Chandler
"2016
(70th)",Andrew Garfield,Hacksaw Ridge,Desmond T. Doss
"2016
(70th)",Ryan Gosling,La La Land,Sebastian Wilder
"2016
(70th)",Jake Gyllenhaal,Nocturnal Animals,Edward Sheffield / Tony Hastings
"2016
(70th)",Viggo Mortensen,Captain Fantastic,Ben Cash
"2017
(71st)",Gary Oldman,Darkest Hour,Winston Churchill
"2017
(71st)",Jamie Bell,Film Stars Don't Die in Liverpool,Peter Turner
"2017
(71st)",Timothée Chalamet,Call Me by Your Name,Elio Perlman
"2017
(71st)",Daniel Day-Lewis,Phantom Thread,Reynolds Woodcock
"2017
(71st)",Daniel Kaluuya,Get Out,Chris Washington
"2018
(72nd)",Rami Malek,Bohemian Rhapsody,Freddie Mercury
"2018
(72nd)",Christian Bale,Vice,Dick Cheney
"2018
(72nd)",Steve Coogan,Stan & Ollie,Stan Laurel
