Year,Actress,Role(s),Film,Ref.
"2000 
 (58th)",Renée Zellweger,Betty Sizemore,Nurse Betty,
"2000 
 (58th)",Juliette Binoche,Vianne Rocher,Chocolat,
"2000 
 (58th)",Brenda Blethyn,Grace Trevethyn,Saving Grace,
"2000 
 (58th)",Sandra Bullock,Gracie Hart,Miss Congeniality,
"2000 
 (58th)",Tracey Ullman,Frenchy Jackson,Small Time Crooks,
"2001 
 (59th)",Nicole Kidman,Satine,Moulin Rouge!,
"2001 
 (59th)",Thora Birch,Enid,Ghost World,
"2001 
 (59th)",Cate Blanchett,Kate Wheeler,Bandits,
"2001 
 (59th)",Reese Witherspoon,Elle Woods,Legally Blonde,
"2001 
 (59th)",Renée Zellweger,Bridget Jones,Bridget Jones's Diary,
"2002 
 (60th)",Renée Zellweger,Roxie Hart,Chicago,
"2002 
 (60th)",Maggie Gyllenhaal,Lee Holloway,Secretary,
"2002 
 (60th)",Goldie Hawn,Suzette Crooks,The Banger Sisters,
"2002 
 (60th)",Nia Vardalos,"Fotoula ""Toula"" Portokalos",My Big Fat Greek Wedding,
"2002 
 (60th)",Catherine Zeta-Jones,Velma Kelly,Chicago,
"2003 
 (61st)",Diane Keaton,Erica Barry,Something's Gotta Give,
"2003 
 (61st)",Jamie Lee Curtis,Dr. Tess Coleman,Freaky Friday,
"2003 
 (61st)",Scarlett Johansson,Charlotte Riley,Lost in Translation,
"2003 
 (61st)",Diane Lane,Frances Mayes,Under the Tuscan Sun,
"2003 
 (61st)",Helen Mirren,Chris Harper,Calendar Girls,
"2004 
 (62nd)",Annette Bening,Julia Lambert,Being Julia,
"2004 
 (62nd)",Ashley Judd,Linda Porter,De-Lovely,
"2004 
 (62nd)",Emmy Rossum,Christine Daaé,The Phantom of the Opera,
"2004 
 (62nd)",Kate Winslet,Clementine Kruczynski,Eternal Sunshine of the Spotless Mind,
"2004 
 (62nd)",Renée Zellweger,Bridget Jones,Bridget Jones: The Edge of Reason,
"2005 
 (63rd)",Reese Witherspoon,June Carter Cash,Walk the Line,
"2005 
 (63rd)",Judi Dench,Laura Henderson,Mrs Henderson Presents,
"2005 
 (63rd)",Keira Knightley,Elizabeth Bennet,Pride & Prejudice,
"2005 
 (63rd)",Laura Linney,Joan Berkman,The Squid and the Whale,
"2005 
 (63rd)",Sarah Jessica Parker,Meredith Morton,The Family Stone,
"2006 
 (64th)",Meryl Streep,Miranda Priestly,The Devil Wears Prada,
"2006 
 (64th)",Annette Bening,Deirdre Burroughs,Running with Scissors,
"2006 
 (64th)",Toni Collette,Sheryl Hoover,Little Miss Sunshine,
"2006 
 (64th)",Beyoncé Knowles,Deena Jones,Dreamgirls,
"2006 
 (64th)",Renée Zellweger,Beatrix Potter,Miss Potter,
"2007 
 (65th)",Marion Cotillard,Édith Piaf,La Vie en Rose,
"2007 
 (65th)",Amy Adams,Giselle,Enchanted,
"2007 
 (65th)",Nikki Blonsky,Tracy Turnblad,Hairspray,
"2007 
 (65th)",Helena Bonham Carter,Mrs. Lovett,Sweeney Todd: The Demon Barber of Fleet Street,
"2007 
 (65th)",Elliot Page,Juno MacGuff,Juno,
"2008 
 (66th)",Sally Hawkins,"Pauline ""Poppy"" Cross",Happy-Go-Lucky,
"2008 
 (66th)",Rebecca Hall,Vicky Marielle,Vicky Cristina Barcelona,
"2008 
 (66th)",Frances McDormand,Linda Litzke,Burn After Reading,
"2008 
 (66th)",Meryl Streep,Donna Sheridan,Mamma Mia!,
"2008 
 (66th)",Emma Thompson,Kate Walker,Last Chance Harvey,
"2009 
 (67th)",Meryl Streep,Julia Child,Julie & Julia,
"2009 
 (67th)",Meryl Streep,Jane Adler,It's Complicated,
"2009 
 (67th)",Sandra Bullock,Margaret Tate,The Proposal,
"2009 
 (67th)",Marion Cotillard,Luisa Acari Contini,Nine,
