Year,Film,Director,Producer
2000,Almost Famous,Cameron Crowe,Ian Bryce & Cameron Crowe
2000,Best in Show,Christopher Guest,Gordon Mark & Karen Murphy
2000,Chicken Run,Peter Lord & Nick Park,"Peter Lord, Nick Park, & David Sproxton"
2000,Chocolat,Lasse Hallström,Harvey Weinstein
2000,"O Brother, Where Art Thou?",Joel Coen,"Tim Bevan, Ethan Coen, & Eric Fellner"
2001,Moulin Rouge!,Baz Luhrmann,"Fred Baron, Martin Brown, & Baz Luhrmann"
2001,Bridget Jones's Diary,Sharon Maguire,"Tim Bevan, Jonathan Cavendish, & Eric Fellner"
2001,Gosford Park,Robert Altman,"Robert Altman, Bob Balaban, & David Levy"
2001,Legally Blonde,Robert Luketic,Ric Kidney & Marc E. Platt
2001,Shrek,Andrew Adamson & Vicky Jenson,"Jeffrey Katzenberg, Aron Warner, & John H. Williams"
2002,Chicago,Rob Marshall,"Meryl Poster, Martin Richards, Bob Weinstein, Harvey Weinstein, & Craig Zadan"
2002,About a Boy,Chris Weitz & Paul Weitz,"Tim Bevan, Robert De Niro, Brad Epstein, Eric Fellner, & Jane Rosenthal"
2002,Adaptation.,Spike Jonze,"Jonathan Demme, Vincent Landay, & Edward Saxon"
2002,My Big Fat Greek Wedding,Joel Zwick,"Gary Goetzman, Tom Hanks, & Rita Wilson"
2002,Nicholas Nickleby,Douglas McGrath,"Simon Channing-Williams, John Hart, & Jeffrey Sharp"
2003,Lost in Translation,Sofia Coppola,Sofia Coppola & Ross Katz
2003,Bend It Like Beckham,Gurinder Chadha,Gurinder Chadha & Deepak Nayar
2003,Big Fish,Tim Burton,"Bruce Cohen, Dan Jinks, & Richard D. Zanuck"
2003,Finding Nemo,Andrew Stanton,Graham Walters
2003,Love Actually,Richard Curtis,"Tim Bevan, Eric Fellner, & Duncan Kenworthy"
2004,Sideways,Alexander Payne,Michael London
2004,Eternal Sunshine of the Spotless Mind,Michel Gondry,Anthony Bregman & Steve Golin
2004,The Incredibles,Brad Bird,John Walker
2004,The Phantom of the Opera,Joel Schumacher,Andrew Lloyd Webber
2004,Ray,Taylor Hackford,"Howard Baldwin, Karen Baldwin, Stuart Benjamin, & Taylor Hackford"
2005,Walk the Line,James Mangold,James Keach & Cathy Konrad
2005,Mrs Henderson Presents,Stephen Frears,Norma Heyman
2005,Pride & Prejudice,Joe Wright,"Tim Bevan, Eric Fellner, & Paul Webster"
2005,The Producers,Susan Stroman,Mel Brooks
2005,The Squid and the Whale,Noah Baumbach,Wes Anderson
2006,Dreamgirls,Bill Condon,Laurence Mark
2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,Sacha Baron Cohen & Jay Roach
2006,The Devil Wears Prada,David Frankel,Wendy Finerman & Karen Rosenfelt
2006,Little Miss Sunshine,Jonathan Dayton and Valerie Faris,"Albert Berger, David T. Friendly, Peter Saraf, Marc Turtletaub, & Ron Yerxa"
2006,Thank You for Smoking,Jason Reitman,Edward R. Pressman & David O. Sacks
2007,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,"John Logan, Laurie MacDonald, Walter F. Parkes, & Richard D. Zanuck"
2007,Across the Universe,Julie Taymor,"Charles Newirth, Jennifer Todd, & Suzanne Todd"
2007,Charlie Wilson's War,Mike Nichols,Tom Hanks
2007,Hairspray,Adam Shankman,"Toby Emmerich, Neil Meron, Marc Shaiman, Adam Shankman, Bob Shaye, Scott Wittman, & Craig Zadan"
2007,Juno,Jason Reitman,"Lianne Halfon, John Malkovich, Mason Novick, & Russell Smith"
2008,Vicky Cristina Barcelona,Woody Allen,"Letty Aronson, Jaume Roures, Stephen Tenenbaum, & Gareth Wiley"
2008,Burn After Reading,Joel Coen and Ethan Coen,Joel Coen and Ethan Coen
2008,Happy-Go-Lucky,Mike Leigh,Simon Channing-Williams
2008,In Bruges,Martin McDonagh,Graham Broadbent & Peter Czernin
2008,Mamma Mia!,Phyllida Lloyd,"Benny Andersson, Judy Craymer, Tom Hanks, Phyllida Lloyd, Björn Ulvaeus, & Rita Wilson"
2009,The Hangover,Todd Phillips,Daniel Goldberg & Todd Phillips
2009,(500) Days of Summer,Marc Webb,"Mason Novick, Jessica Tuchinsky, Mark Waters, & Steven J. Wolfe"
2009,It's Complicated,Nancy Meyers,Nancy Meyers & Scott Rudin
2009,Julie & Julia,Nora Ephron,"Nora Ephron, Laurence Mark, Amy Robinson, & Eric Steel"
2009,Nine,Rob Marshall,"John DeLuca, Rob Marshall, Marc Platt, Harvey Weinstein, & Maury Yeston"
2010,The Kids Are All Right,Lisa Cholodenko,"Gary Gilbert, Jeff Levy-Hinte, Celine Rattray"
2010,Alice in Wonderland,Tim Burton,"Richard D. Zanuck, Joe Roth, Suzanne Todd, and Jennifer Todd"
2010,Burlesque,Steven Antin,Donald De Line
2010,Red,Robert Schwentke,Lorenzo di Bonaventura and Mark Vahradian
2010,The Tourist,Florian Henckel von Donnersmarck,"Graham King, Timothy Headington, Roger Birnbaum, Gary Barber, and Jonathan Glickman"
2011,The Artist,Michel Hazanavicius,Thomas Langmann
2011,50/50,Jonathan Levine,"Evan Goldberg, Ben Karlin, and Seth Rogen"
2011,Bridesmaids,Paul Feig,"Judd Apatow, Barry Mendel, and Clayton Townsend"
2011,Midnight in Paris,Woody Allen,"Letty Aronson, Jaume Roures, and Stephen Tenenbaum"
2011,My Week with Marilyn,Simon Curtis,David Parfitt and Harvey Weinstein
2012,Les Misérables,Tom Hooper,"Tim Bevan, Eric Fellner, Debra Hayward, and Cameron Mackintosh"
2012,The Best Exotic Marigold Hotel,John Madden,Graham Broadbent and Peter Czernin
2012,Moonrise Kingdom,Wes Anderson,"Jeremy Dawson, Scott Rudin, Wes Anderson, and Steven Rales"
2012,Salmon Fishing in the Yemen,Lasse Hallström,Paul Webster
2012,Silver Linings Playbook,David O. Russell,Bruce Cohen and Donna Gigliotti
2013,American Hustle,David O. Russell,"Charles Roven, Megan Ellison, Richard Suckle, and Jonathan Gordon"
2013,Her,Spike Jonze,"Megan Ellison, Spike Jonze, and Vincent Landay"
