Year,Film,Director,Producers
2000,Gladiator,Ridley Scott,Douglas Wick
2000,Billy Elliot,Stephen Daldry,Charles Brand
2000,Erin Brockovich,Steven Soderbergh,Danny DeVito
2000,Sunshine,István Szabó,András Hámori
2000,Traffic,Steven Soderbergh,Edward Zwick
2000,Wonder Boys,Curtis Hanson,Curtis Hanson
2001,A Beautiful Mind,Ron Howard,Brian Grazer
2001,In the Bedroom,Todd Field,Todd Field
2001,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"Peter Jackson, Barrie M. Osborne, Fran Walsh"
2001,The Man Who Wasn't There,Joel Coen,Ethan Coen
2001,Mulholland Drive,David Lynch,Pierre Edelman
2002,The Hours,Stephen Daldry,Robert Fox and Scott Rudin
2002,About Schmidt,Alexander Payne,Michael Besman
2002,Gangs of New York,Martin Scorsese,Alberto Grimaldi
2002,The Lord of the Rings: The Two Towers,Peter Jackson,"Peter Jackson, Barrie M. Osborne, Fran Walsh"
2002,The Pianist,Roman Polanski,Roman Polanski
2003,The Lord of the Rings: The Return of the King,Peter Jackson,"Peter Jackson, Barrie M. Osborne, Fran Walsh"
2003,Cold Mountain,Anthony Minghella,Albert Berger
2003,Master and Commander: The Far Side of the World,Peter Weir,Peter Weir
2003,Mystic River,Clint Eastwood,Robert Lorenz
2003,Seabiscuit,Gary Ross,Kathleen Kennedy
2004,The Aviator,Martin Scorsese,Michael Mann
2004,Closer,Mike Nichols,Patrick Marber
2004,Finding Neverland,Marc Forster,Richard N. Gladstein
2004,Hotel Rwanda,Terry George,Terry George
2004,Kinsey,Bill Condon,Gail Mutrux
2004,Million Dollar Baby,Clint Eastwood,"Clint Eastwood, Albert S. Ruddy, Tom Rosenberg"
2005,Brokeback Mountain,Ang Lee,Diana Ossana
2005,The Constant Gardener,Fernando Meirelles,Simon Channing-Williams
2005,"Good Night, and Good Luck.",George Clooney,Grant Heslov
2005,A History of Violence,David Cronenberg,Chris Bender
2005,Match Point,Woody Allen,Letty Aronson
2006,Babel,Alejandro González Iñárritu,Steve Golin
2006,Bobby,Emilio Estevez,Anthony Hopkins
2006,The Departed,Martin Scorsese,Brad Grey
2006,Little Children,Todd Field,Albert Berger
2006,The Queen,Stephen Frears,François Ivernel
2007,Atonement,Joe Wright,Tim Bevan
2007,American Gangster,Ridley Scott,Brian Grazer
2007,Eastern Promises,David Cronenberg,Paul Webster
2007,The Great Debaters,Denzel Washington,Oprah Winfrey
2007,Michael Clayton,Tony Gilroy,Sydney Pollack
2007,No Country for Old Men,Joel and Ethan Coen,"Joel Coen, Ethan Coen, Scott Rudin"
2007,There Will Be Blood,Paul Thomas Anderson,Paul Thomas Anderson
2008,Slumdog Millionaire,Danny Boyle,Christian Colson
2008,The Curious Case of Benjamin Button,David Fincher,"Kathleen Kennedy, Frank Marshall, Ray Stark"
2008,Frost/Nixon,Ron Howard,"Tim Bevan, Eric Fellner, Brian Grazer, Ron Howard"
2008,The Reader,Stephen Daldry,"Anthony Minghella, Sydney Pollack, Scott Rudin"
